,audiAcc,audiChange,audiCnt,audiInten,movieCd,movieNm,openDt,rank,rankInten,rankOldAndNew,rnum,salesAcc,salesAmt,salesChange,salesInten,salesShare,scrnCnt,showCnt,targetDt
156,3202956,-53,10041,-11338,20184047,토이 스토리 4,2019-06-20,4,-1,OLD,4,27138139180,78475700,-54,-91969410,1.9,325,542,20190717
157,9552,4184.1,9168,8954,20192222,사일런스,2019-07-17,5,32,OLD,5,78830880,76016880,5820.3,74732880,1.8,456,1015,20190717
158,9960204,-50.6,7886,-8064,20183782,기생충,2019-05-30,6,-1,OLD,6,84874536275,50931020,-51.5,-53991710,1.2,195,317,20190717
159,133241,-49.5,5101,-4990,20185986,진범,2019-07-10,7,-1,OLD,7,1135239200,39893500,-51.1,-41649000,1.0,176,403,20190717
160,263920,-76.4,4610,-14898,20185353,기방도령,2019-07-10,8,-4,OLD,8,2155657970,34418660,-77.3,-117431430,0.8,232,344,20190717
161,61564,-67.6,2295,-4795,20192151,미드소마,2019-07-11,9,-2,OLD,9,565386380,19706720,-68,-41938340,0.5,125,142,20190717
162,467734,-52.6,1727,-1919,20199951,애나벨 집으로,2019-06-26,10,-1,OLD,10,3879119870,11843020,-60.2,-17917920,0.3,55,84,20190717
163,10325885,4.7,84162,3758,20183867,알라딘,2019-05-23,2,0,OLD,2,88055722659,686843870,3.4,22652560,29.2,858,3100,20190716
164,3192915,5.8,21379,1168,20184047,토이 스토리 4,2019-06-20,3,0,OLD,3,27059663480,170445110,2.6,4262590,7.3,615,1383,20190716
165,259310,-0.6,19508,-112,20185353,기방도령,2019-07-10,4,0,OLD,4,2121239310,151850090,-0.9,-1440990,6.5,569,1848,20190716
166,9952318,5.9,15950,894,20183782,기생충,2019-05-30,5,0,OLD,5,84823605255,104922730,2.2,2305930,4.5,374,712,20190716
167,128140,-10.6,10091,-1202,20185986,진범,2019-07-10,6,0,OLD,6,1095345700,81542500,-11,-10064100,3.5,205,825,20190716
168,59269,9.5,7090,618,20192151,미드소마,2019-07-11,7,0,OLD,7,545679660,61645060,8.8,4979940,2.6,348,632,20190716
169,921203,7.2,4014,269,20196655,존 윅 3: 파라벨룸,2019-06-26,8,0,OLD,8,7871186512,33506600,7,2189390,1.4,185,299,20190716
170,466007,9.7,3646,322,20199951,애나벨 집으로,2019-06-26,9,0,OLD,9,3867276850,29760940,7.5,2078060,1.3,144,258,20190716
171,106834,31.1,3171,753,20191601,극장판 엉덩이 탐정: 화려한 사건 수첩,2019-07-11,10,0,OLD,10,853113120,22913300,25,4576000,1.0,292,387,20190716
172,10241723,-69,80404,-178775,20183867,알라딘,2019-05-23,2,0,OLD,2,87368878789,664191310,-70.5,-1589753550,28.3,822,3029,20190715
173,3171536,-80.8,20211,-85210,20184047,토이 스토리 4,2019-06-20,3,0,OLD,3,26889218370,166182520,-81.4,-727913760,7.1,596,1357,20190715
174,239802,-52.9,19620,-22060,20185353,기방도령,2019-07-10,4,1,OLD,4,1969389220,153291080,-58.2,-213044130,6.5,554,1874,20190715
175,9936368,-34,15056,-7750,20183782,기생충,2019-05-30,5,2,OLD,5,84718682525,102616800,-42.7,-76388180,4.4,373,704,20190715
176,118049,-58.9,11293,-16206,20185986,진범,2019-07-10,6,0,OLD,6,1013803200,91606600,-62.8,-154844900,3.9,206,846,20190715
177,52179,-29.8,6472,-2742,20192151,미드소마,2019-07-11,7,2,OLD,7,484034600,56665120,-35.9,-31770400,2.4,334,618,20190715
