,audiAcc,audiChange,audiCnt,audiInten,movieCd,movieNm,openDt,rank,rankInten,rankOldAndNew,rnum,salesAcc,salesAmt,salesChange,salesInten,salesShare,scrnCnt,showCnt,targetDt
32,1792918,-50.2,15056,-15170,20188282,알리타: 배틀 엔젤,2019-02-05,6,-3,OLD,6,17210064614,118704780,-57.6,-161171960,3.2,414,834,20190220
33,18768,902.9,14382,12948,20195743,신데렐라:마법 반지의 비밀,2019-02-20,7,9,OLD,7,136668860,98781860,703.1,86481860,2.7,403,519,20190220
34,354617,-56.1,11279,-14388,20195915,해피 데스데이 2 유,2019-02-14,8,-4,OLD,8,2958373180,89264990,-56.5,-115712850,2.4,371,777,20190220
35,165997,-46.2,7646,-6557,20184888,메리 포핀스 리턴즈,2019-02-14,9,-3,OLD,9,1352665890,58319400,-45.8,-49265230,1.6,292,454,20190220
36,1379901,-42.2,7457,-5444,20186261,드래곤 길들이기 3,2019-01-30,10,-3,OLD,10,11384250816,51051940,-44,-40142760,1.4,190,257,20190220
37,117449,3499.6,81424,79162,20185881,증인,2019-02-13,2,8,OLD,2,964073910,633381650,3500.7,615791050,20.0,884,3833,20190213
38,1434585,-24,48230,-15243,20188282,알리타: 배틀 엔젤,2019-02-05,3,-1,OLD,3,13763624039,433524890,-20.7,-112898320,13.7,673,2679,20190213
39,57358,5675.1,42736,41996,20174169,기묘한 가족,2019-02-13,4,11,OLD,4,443839900,333932400,6008.7,328465900,10.5,625,2741,20190213
40,1245691,-35.3,16226,-8857,20186261,드래곤 길들이기 3,2019-01-30,5,-1,OLD,5,10364886076,120073810,-36,-67581550,3.8,445,809,20190213
41,1802599,-59.3,11793,-17205,20180868,뺑반,2019-01-30,6,-3,OLD,6,15025055678,93681960,-59.1,-135580310,3.0,369,879,20190213
42,534680,-31.1,3272,-1480,20185478,극장판 헬로카봇: 옴파로스 섬의 비밀,2019-01-31,7,-2,OLD,7,4180404430,20507060,-33.4,-10283950,0.6,168,211,20190213
43,3097,7353.7,3056,3015,20196404,신밧드와 마법 양탄자,2019-02-13,8,41,OLD,8,18889600,18684600,9014.4,18479600,0.6,206,234,20190213
44,96692,-51.3,2167,-2279,20184896,가버나움,2019-01-24,9,-3,OLD,9,811563896,16790550,-49.7,-16622580,0.5,61,124,20190213
45,283695,-31.8,1767,-825,20184574,그린 북,2019-01-09,10,-2,OLD,10,2481195144,14167050,-29.9,-6049410,0.4,53,90,20190213
46,559393,6.9,282430,18167,20188282,알리타: 배틀 엔젤,2019-02-05,2,0,OLD,2,5599615940,2753199740,3.4,90438540,17.1,1004,3523,20190206
47,1454548,-8.9,148122,-14397,20180868,뺑반,2019-01-30,3,0,OLD,3,12081776527,1303525650,-11.5,-169110620,8.1,786,2340,20190206
